sample_name	accession
MFD02275	SAMN39867042
MFD02276	SAMN39867043
MFD02277	SAMN39867044
MFD02278	SAMN39867045
MFD02279	SAMN39867046
MFD02280	SAMN39867047
MFD02281	SAMN39867048
MFD02282	SAMN39867049
MFD02283	SAMN39867050
MFD02284	SAMN39867051
MFD02285	SAMN39867052
MFD02286	SAMN39867053
MFD02287	SAMN39867054
MFD02288	SAMN39867055
MFD02289	SAMN39867056
MFD02290	SAMN39867057
MFD02292	SAMN39867058
MFD02293	SAMN39867059
MFD02294	SAMN39867060
MFD02295	SAMN39867061
MFD02296	SAMN39867062
MFD02297	SAMN39867063
MFD02298	SAMN39867064
MFD02299	SAMN39867065
MFD02300	SAMN39867066
MFD02301	SAMN39867067
MFD02302	SAMN39867068
MFD02303	SAMN39867069
MFD02304	SAMN39867070
MFD02305	SAMN39867071
MFD02306	SAMN39867072
MFD02307	SAMN39867073
MFD02308	SAMN39867074
MFD02309	SAMN39867075
MFD02310	SAMN39867076
MFD02311	SAMN39867077
MFD02312	SAMN39867078
